cell_id,wilaya,band,users,latency_ms,packet_loss_pct,traffic_mbps,availability_pct,is_anomaly
DZ-CELL-1273,Batna,n78 (3.5 GHz 5G),875,26.16,0.43,458.62,99.98,0
DZ-CELL-1274,Annaba,B7 (2600 MHz LTE),872,15.78,0.93,689.13,99.01,0
DZ-CELL-1275,Biskra,B3 (1800 MHz LTE),836,29.01,0.23,408.18,99.89,0
DZ-CELL-1276,Tizi Ouzou,B3 (1800 MHz LTE),1032,30.64,0.56,306.07,99.65,0
DZ-CELL-1277,Ouargla,n78 (3.5 GHz 5G),1046,33.09,0.52,412.37,99.98,0
DZ-CELL-1278,Annaba,B7 (2600 MHz LTE),666,15.43,0.21,456.78,99.72,0
DZ-CELL-1279,Ouargla,n78 (3.5 GHz 5G),632,35.84,0.5,461.49,99.77,0
DZ-CELL-1280,Algiers,B7 (2600 MHz LTE),1961,55.0,2.77,970.72,99.03,1
DZ-CELL-1281,Batna,B7 (2600 MHz LTE),990,32.44,0.07,398.07,100.0,0
DZ-CELL-1282,Ouargla,n78 (3.5 GHz 5G),476,27.16,0.3,419.64,99.97,0
DZ-CELL-1283,Biskra,B20 (800 MHz LTE),870,17.3,0.59,560.59,99.79,0
DZ-CELL-1284,Ouargla,n78 (3.5 GHz 5G),953,38.34,0.25,348.7,99.93,0
DZ-CELL-1285,Bejaia,n78 (3.5 GHz 5G),1052,30.01,0.72,637.68,99.65,0
DZ-CELL-1286,Ghardaia,n78 (3.5 GHz 5G),449,26.8,0.39,623.48,99.76,0
DZ-CELL-1287,Tizi Ouzou,B7 (2600 MHz LTE),484,24.6,0.08,643.02,99.89,0
DZ-CELL-1288,Tiaret,n78 (3.5 GHz 5G),637,28.77,0.05,624.13,99.92,0
DZ-CELL-1289,Batna,B20 (800 MHz LTE),1157,30.87,0.17,401.49,99.77,0
DZ-CELL-1290,Ouargla,B7 (2600 MHz LTE),491,41.54,0.11,477.1,99.77,0
DZ-CELL-1291,Ghardaia,B20 (800 MHz LTE),911,31.66,0.05,353.87,99.86,0
DZ-CELL-1292,Ouargla,n78 (3.5 GHz 5G),827,35.07,0.05,470.28,99.97,0
DZ-CELL-1293,Biskra,B7 (2600 MHz LTE),768,18.47,1.04,440.95,99.98,0
DZ-CELL-1294,Setif,n78 (3.5 GHz 5G),829,33.72,0.99,609.04,99.17,0
DZ-CELL-1295,Oran,B20 (800 MHz LTE),931,20.45,0.19,316.51,99.84,0
DZ-CELL-1296,Annaba,B20 (800 MHz LTE),890,23.15,0.35,550.19,99.88,0
DZ-CELL-1297,Blida,B20 (800 MHz LTE),960,24.02,0.1,383.92,99.99,0
DZ-CELL-1298,Tizi Ouzou,B3 (1800 MHz LTE),572,25.51,1.45,262.28,99.83,0
DZ-CELL-1299,Constantine,B7 (2600 MHz LTE),1014,30.71,0.44,358.1,99.87,0
DZ-CELL-1300,Annaba,n78 (3.5 GHz 5G),914,38.75,0.38,344.75,99.9,0
DZ-CELL-1301,Tiaret,B7 (2600 MHz LTE),959,31.77,0.35,417.55,99.95,0
DZ-CELL-1302,Tiaret,B7 (2600 MHz LTE),908,45.27,0.92,513.89,99.97,0
DZ-CELL-1303,Oran,n78 (3.5 GHz 5G),763,27.01,0.94,576.05,99.42,0
DZ-CELL-1304,Tlemcen,B20 (800 MHz LTE),822,23.21,1.45,603.87,99.82,0
DZ-CELL-1305,Chlef,n78 (3.5 GHz 5G),838,21.14,0.1,387.3,99.71,0
DZ-CELL-1306,Tlemcen,B3 (1800 MHz LTE),902,14.0,0.31,596.17,99.21,0
DZ-CELL-1307,Annaba,n78 (3.5 GHz 5G),899,40.95,0.65,442.94,99.83,0
DZ-CELL-1308,Tlemcen,B3 (1800 MHz LTE),1106,30.47,1.01,545.29,99.8,0
DZ-CELL-1309,Ghardaia,n78 (3.5 GHz 5G),203,46.68,0.58,453.44,99.76,0
DZ-CELL-1310,Batna,B3 (1800 MHz LTE),759,26.4,0.2,411.06,99.95,0
DZ-CELL-1311,Blida,B20 (800 MHz LTE),1039,27.98,0.05,574.23,99.73,0
DZ-CELL-1312,Ouargla,n78 (3.5 GHz 5G),963,37.37,0.07,568.05,99.79,0
DZ-CELL-1313,Ghardaia,n78 (3.5 GHz 5G),1015,36.38,0.43,529.46,99.98,0
DZ-CELL-1314,Chlef,B7 (2600 MHz LTE),669,31.82,0.24,405.73,99.91,0
DZ-CELL-1315,Batna,B7 (2600 MHz LTE),818,32.8,1.33,465.18,99.98,0
DZ-CELL-1316,Setif,n78 (3.5 GHz 5G),856,36.56,0.16,480.13,99.68,0
DZ-CELL-1317,Batna,B3 (1800 MHz LTE),670,30.66,0.05,489.08,99.9,0
DZ-CELL-1318,Tlemcen,B20 (800 MHz LTE),630,26.27,0.15,571.24,99.92,0
DZ-CELL-1319,Biskra,n78 (3.5 GHz 5G),881,75.0,4.04,244.73,97.83,1
DZ-CELL-1320,Ghardaia,n78 (3.5 GHz 5G),486,41.02,0.47,147.85,99.82,0
DZ-CELL-1321,Tizi Ouzou,B7 (2600 MHz LTE),890,27.13,0.52,500.8,99.94,0
DZ-CELL-1322,Bejaia,B3 (1800 MHz LTE),1035,36.2,0.73,596.62,99.97,0
DZ-CELL-1323,Tizi Ouzou,n78 (3.5 GHz 5G),1450,26.46,0.31,577.89,99.93,0
DZ-CELL-1324,Bejaia,B3 (1800 MHz LTE),923,24.89,0.05,389.53,100.0,0
DZ-CELL-1325,Oran,n78 (3.5 GHz 5G),1096,27.3,0.15,481.69,99.75,0
DZ-CELL-1326,Constantine,n78 (3.5 GHz 5G),661,40.44,0.05,331.95,99.63,0
DZ-CELL-1327,Constantine,B3 (1800 MHz LTE),669,39.71,1.0,406.99,99.89,0
DZ-CELL-1328,Setif,n78 (3.5 GHz 5G),800,37.67,1.45,509.19,99.86,0
DZ-CELL-1329,Blida,B7 (2600 MHz LTE),721,43.77,0.55,333.91,100.0,0
DZ-CELL-1330,Batna,B20 (800 MHz LTE),964,25.88,0.49,489.75,99.93,0
DZ-CELL-1331,Blida,n78 (3.5 GHz 5G),893,33.52,0.46,448.68,99.99,0
DZ-CELL-1332,Setif,n78 (3.5 GHz 5G),939,31.06,0.31,321.18,99.95,0
DZ-CELL-1333,Setif,B3 (1800 MHz LTE),344,21.47,0.05,324.19,99.71,0
DZ-CELL-1334,Batna,B3 (1800 MHz LTE),1121,29.6,0.85,548.44,99.87,0
DZ-CELL-1335,Tiaret,B3 (1800 MHz LTE),599,29.95,0.51,520.16,99.81,0
DZ-CELL-1336,Blida,B7 (2600 MHz LTE),686,28.87,0.47,384.34,99.79,0
DZ-CELL-1337,Biskra,B3 (1800 MHz LTE),1097,43.61,0.1,396.25,99.56,0
DZ-CELL-1338,Ouargla,B3 (1800 MHz LTE),656,21.41,0.05,484.5,99.94,0
DZ-CELL-1339,Ouargla,B3 (1800 MHz LTE),629,20.56,0.05,355.28,99.97,0
DZ-CELL-1340,Annaba,B7 (2600 MHz LTE),802,14.0,0.23,745.39,100.0,0
DZ-CELL-1341,Ghardaia,B3 (1800 MHz LTE),1022,36.04,0.33,475.42,99.77,0
DZ-CELL-1342,Bejaia,B7 (2600 MHz LTE),1081,26.57,0.67,528.23,99.97,0
DZ-CELL-1343,Annaba,B7 (2600 MHz LTE),854,30.22,0.14,501.15,100.0,0
DZ-CELL-1344,Batna,B3 (1800 MHz LTE),1065,26.43,0.33,343.7,100.0,0
DZ-CELL-1345,Bejaia,B7 (2600 MHz LTE),527,39.42,1.45,331.34,99.62,0
DZ-CELL-1346,Batna,B20 (800 MHz LTE),400,101.92,3.0,77.87,93.33,1
DZ-CELL-1347,Constantine,B3 (1800 MHz LTE),810,26.43,0.3,392.33,99.72,0
DZ-CELL-1348,Ouargla,B7 (2600 MHz LTE),697,31.69,1.42,482.3,99.34,0
DZ-CELL-1349,Setif,B3 (1800 MHz LTE),900,30.46,0.11,408.5,99.96,0
DZ-CELL-1350,Bejaia,B3 (1800 MHz LTE),924,24.54,0.68,357.74,99.67,0
DZ-CELL-1351,Tizi Ouzou,B20 (800 MHz LTE),904,22.26,0.5,653.59,99.94,0
DZ-CELL-1352,Bejaia,n78 (3.5 GHz 5G),990,30.22,0.15,588.61,99.75,0
DZ-CELL-1353,Tlemcen,B7 (2600 MHz LTE),833,23.83,1.43,462.86,99.85,0
DZ-CELL-1354,Oran,B7 (2600 MHz LTE),850,19.8,0.51,459.1,99.67,0
DZ-CELL-1355,Oran,B20 (800 MHz LTE),771,48.41,0.26,271.61,99.99,0
DZ-CELL-1356,Ghardaia,B3 (1800 MHz LTE),805,22.76,0.11,432.78,99.35,0
DZ-CELL-1357,Ouargla,B3 (1800 MHz LTE),979,32.36,0.14,516.5,99.89,0
DZ-CELL-1358,Blida,n78 (3.5 GHz 5G),692,33.18,0.44,526.85,99.72,0
DZ-CELL-1359,Biskra,B20 (800 MHz LTE),854,31.36,0.57,343.23,99.94,0
DZ-CELL-1360,Oran,B20 (800 MHz LTE),1156,40.81,0.08,643.25,99.86,0
DZ-CELL-1361,Algiers,n78 (3.5 GHz 5G),928,36.64,0.12,457.18,99.8,0
DZ-CELL-1362,Ghardaia,n78 (3.5 GHz 5G),696,23.87,0.85,428.3,99.89,0
DZ-CELL-1363,Oran,n78 (3.5 GHz 5G),908,31.85,0.49,426.48,99.97,0
DZ-CELL-1364,Blida,n78 (3.5 GHz 5G),683,20.25,1.13,408.57,99.9,0
DZ-CELL-1365,Tiaret,B7 (2600 MHz LTE),1140,33.86,1.36,496.54,99.83,0
DZ-CELL-1366,Tlemcen,B7 (2600 MHz LTE),1112,27.56,0.13,263.29,99.79,0
DZ-CELL-1367,Tiaret,B20 (800 MHz LTE),1046,26.67,1.13,414.25,99.98,0
DZ-CELL-1368,Bejaia,n78 (3.5 GHz 5G),514,32.24,0.05,435.23,99.4,0
DZ-CELL-1369,Batna,n78 (3.5 GHz 5G),1000,20.45,0.39,698.17,99.85,0
DZ-CELL-1370,Ghardaia,B20 (800 MHz LTE),223,108.95,6.9,106.92,96.8,1
DZ-CELL-1371,Ghardaia,B7 (2600 MHz LTE),1677,66.95,1.5,942.72,98.0,1
DZ-CELL-1372,Setif,n78 (3.5 GHz 5G),728,24.3,0.87,193.54,99.67,0
DZ-CELL-1373,Annaba,n78 (3.5 GHz 5G),893,28.41,0.53,585.35,99.71,0
DZ-CELL-1374,Bejaia,n78 (3.5 GHz 5G),640,35.17,0.94,284.36,99.89,0
DZ-CELL-1375,Blida,B3 (1800 MHz LTE),920,37.18,0.05,198.58,99.28,0
DZ-CELL-1376,Batna,B20 (800 MHz LTE),689,24.33,0.16,554.73,99.73,0
DZ-CELL-1377,Constantine,n78 (3.5 GHz 5G),597,30.11,0.16,604.7,99.92,0
DZ-CELL-1378,Annaba,B20 (800 MHz LTE),1039,36.35,0.09,566.17,99.67,0
DZ-CELL-1379,Ouargla,B20 (800 MHz LTE),794,42.95,0.49,290.79,99.98,0
DZ-CELL-1380,Blida,B20 (800 MHz LTE),1246,34.87,0.08,526.02,99.39,0
DZ-CELL-1381,Tizi Ouzou,B20 (800 MHz LTE),1158,20.09,0.56,567.22,99.72,0
DZ-CELL-1382,Chlef,B3 (1800 MHz LTE),857,24.83,0.32,546.74,99.65,0
DZ-CELL-1383,Chlef,B7 (2600 MHz LTE),809,40.11,0.28,589.51,99.49,0
DZ-CELL-1384,Oran,B7 (2600 MHz LTE),1089,38.93,0.89,572.28,99.96,0
DZ-CELL-1385,Tiaret,n78 (3.5 GHz 5G),714,22.26,1.45,345.56,99.61,0
DZ-CELL-1386,Batna,B7 (2600 MHz LTE),1082,39.03,0.37,479.38,99.9,0
DZ-CELL-1387,Tiaret,n78 (3.5 GHz 5G),997,35.41,0.6,421.18,99.9,0
DZ-CELL-1388,Biskra,n78 (3.5 GHz 5G),836,35.41,0.12,577.94,99.84,0
DZ-CELL-1389,Batna,B3 (1800 MHz LTE),976,45.64,0.89,484.39,99.96,0
DZ-CELL-1390,Oran,B20 (800 MHz LTE),903,42.4,0.23,427.33,99.93,0
DZ-CELL-1391,Annaba,n78 (3.5 GHz 5G),660,34.82,0.72,569.08,99.94,0
DZ-CELL-1392,Tiaret,B7 (2600 MHz LTE),1094,46.51,0.8,439.38,99.84,0
DZ-CELL-1393,Setif,B20 (800 MHz LTE),881,24.48,0.2,358.8,99.81,0
DZ-CELL-1394,Batna,B20 (800 MHz LTE),1117,25.49,0.23,421.06,99.77,0
DZ-CELL-1395,Tlemcen,B20 (800 MHz LTE),474,28.76,0.21,462.03,99.42,0
DZ-CELL-1396,Blida,n78 (3.5 GHz 5G),1155,40.6,0.45,440.43,99.72,0
DZ-CELL-1397,Setif,B20 (800 MHz LTE),558,29.79,0.15,421.92,99.89,0
DZ-CELL-1398,Setif,B7 (2600 MHz LTE),557,32.58,1.45,454.66,99.73,0
DZ-CELL-1399,Oran,B7 (2600 MHz LTE),646,27.18,0.19,667.17,99.9,0
DZ-CELL-1400,Blida,B3 (1800 MHz LTE),667,27.03,0.3,378.6,99.79,0
DZ-CELL-1401,Tiaret,B7 (2600 MHz LTE),629,32.66,0.05,523.55,99.98,0
DZ-CELL-1402,Annaba,B7 (2600 MHz LTE),831,33.39,0.05,664.08,99.79,0
DZ-CELL-1403,Tiaret,n78 (3.5 GHz 5G),1144,40.92,0.42,591.5,99.92,0
DZ-CELL-1404,Setif,B20 (800 MHz LTE),994,20.48,0.9,540.66,99.95,0
DZ-CELL-1405,Oran,B7 (2600 MHz LTE),924,44.48,0.51,559.72,99.9,0
DZ-CELL-1406,Setif,B7 (2600 MHz LTE),859,30.08,0.13,542.93,99.9,0
DZ-CELL-1407,Blida,B7 (2600 MHz LTE),836,29.11,0.5,526.25,99.25,0
DZ-CELL-1408,Setif,B3 (1800 MHz LTE),659,30.94,0.62,465.54,99.94,0
DZ-CELL-1409,Tiaret,B7 (2600 MHz LTE),1031,44.58,0.05,425.83,99.82,0
DZ-CELL-1410,Setif,B3 (1800 MHz LTE),1195,41.68,0.12,424.67,99.96,0
DZ-CELL-1411,Algiers,B20 (800 MHz LTE),972,102.18,4.88,198.08,96.84,1
DZ-CELL-1412,Biskra,n78 (3.5 GHz 5G),1225,29.74,0.42,416.19,99.39,0
DZ-CELL-1413,Oran,B3 (1800 MHz LTE),902,35.06,0.78,529.78,99.46,0
DZ-CELL-1414,Bejaia,B20 (800 MHz LTE),541,33.55,0.43,575.61,99.85,0
DZ-CELL-1415,Batna,n78 (3.5 GHz 5G),1045,30.61,1.14,411.85,99.82,0
DZ-CELL-1416,Batna,B20 (800 MHz LTE),472,34.14,0.21,513.42,99.69,0
DZ-CELL-1417,Constantine,B3 (1800 MHz LTE),1008,48.06,0.13,397.43,99.76,0
DZ-CELL-1418,Setif,n78 (3.5 GHz 5G),494,16.73,0.47,419.55,99.88,0
DZ-CELL-1419,Oran,B3 (1800 MHz LTE),1039,26.82,0.3,480.45,99.48,0
DZ-CELL-1420,Tlemcen,n78 (3.5 GHz 5G),905,29.18,0.24,341.78,99.97,0
DZ-CELL-1421,Oran,B3 (1800 MHz LTE),1028,36.07,0.96,365.73,99.66,0
DZ-CELL-1422,Constantine,B7 (2600 MHz LTE),697,34.47,0.15,360.63,99.86,0
DZ-CELL-1423,Ouargla,B20 (800 MHz LTE),668,15.91,0.2,538.61,99.65,0
DZ-CELL-1424,Oran,B7 (2600 MHz LTE),703,39.54,1.1,466.2,99.91,0
DZ-CELL-1425,Oran,n78 (3.5 GHz 5G),922,37.31,0.94,480.99,99.98,0
DZ-CELL-1426,Bejaia,B7 (2600 MHz LTE),1084,15.95,0.31,520.42,99.77,0
DZ-CELL-1427,Ouargla,n78 (3.5 GHz 5G),781,33.31,0.62,498.11,99.88,0
DZ-CELL-1428,Batna,n78 (3.5 GHz 5G),607,34.69,0.5,541.11,99.95,0
DZ-CELL-1429,Setif,n78 (3.5 GHz 5G),647,32.84,0.08,671.91,99.98,0
DZ-CELL-1430,Setif,B3 (1800 MHz LTE),788,35.19,0.2,456.13,99.85,0
DZ-CELL-1431,Bejaia,B3 (1800 MHz LTE),782,21.37,0.05,545.98,99.9,0
DZ-CELL-1432,Ouargla,B7 (2600 MHz LTE),687,26.76,1.45,592.35,99.89,0
DZ-CELL-1433,Biskra,B7 (2600 MHz LTE),1309,42.06,0.54,223.63,99.76,0
DZ-CELL-1434,Setif,B3 (1800 MHz LTE),850,22.27,0.24,516.06,99.85,0
DZ-CELL-1435,Constantine,B7 (2600 MHz LTE),1053,33.89,0.06,379.14,99.92,0
DZ-CELL-1436,Constantine,B3 (1800 MHz LTE),945,25.95,0.1,574.43,99.95,0
DZ-CELL-1437,Constantine,B3 (1800 MHz LTE),798,14.0,0.05,508.55,99.69,0
DZ-CELL-1438,Tlemcen,n78 (3.5 GHz 5G),839,26.26,0.37,641.06,99.94,0
DZ-CELL-1439,Tiaret,n78 (3.5 GHz 5G),1069,41.33,0.78,494.52,99.63,0
DZ-CELL-1440,Setif,B3 (1800 MHz LTE),391,30.6,0.71,334.88,99.61,0
DZ-CELL-1441,Annaba,B20 (800 MHz LTE),805,31.32,0.05,592.57,99.9,0
DZ-CELL-1442,Tiaret,B20 (800 MHz LTE),789,39.06,0.35,413.26,99.91,0
DZ-CELL-1443,Tiaret,n78 (3.5 GHz 5G),896,29.79,1.45,628.08,99.84,0
DZ-CELL-1444,Oran,B7 (2600 MHz LTE),612,26.83,0.19,411.32,99.91,0
DZ-CELL-1445,Tizi Ouzou,B20 (800 MHz LTE),809,45.21,0.48,448.89,99.75,0
DZ-CELL-1446,Ouargla,B7 (2600 MHz LTE),804,47.83,0.05,545.87,99.84,0
DZ-CELL-1447,Tlemcen,B3 (1800 MHz LTE),997,42.47,0.63,525.61,99.68,0
DZ-CELL-1448,Chlef,B7 (2600 MHz LTE),598,32.43,0.5,634.37,99.96,0
DZ-CELL-1449,Biskra,B7 (2600 MHz LTE),1003,33.13,0.62,467.03,99.52,0
DZ-CELL-1450,Tizi Ouzou,B20 (800 MHz LTE),969,42.81,0.48,500.97,99.8,0
DZ-CELL-1451,Ghardaia,B7 (2600 MHz LTE),1057,31.31,0.57,346.12,99.94,0
DZ-CELL-1452,Oran,B3 (1800 MHz LTE),711,24.44,0.12,439.24,99.52,0
DZ-CELL-1453,Constantine,B20 (800 MHz LTE),540,21.71,0.05,483.41,99.76,0
DZ-CELL-1454,Bejaia,B20 (800 MHz LTE),1104,28.84,0.48,407.64,99.76,0
DZ-CELL-1455,Batna,B3 (1800 MHz LTE),1037,32.74,0.46,474.19,99.92,0
DZ-CELL-1456,Batna,B20 (800 MHz LTE),670,27.43,0.53,530.95,99.94,0
DZ-CELL-1457,Tiaret,n78 (3.5 GHz 5G),549,39.83,0.68,539.09,99.71,0
DZ-CELL-1458,Setif,n78 (3.5 GHz 5G),641,42.76,0.25,518.46,99.99,0
DZ-CELL-1459,Batna,B3 (1800 MHz LTE),505,22.73,1.03,608.11,99.56,0
DZ-CELL-1460,Bejaia,B3 (1800 MHz LTE),997,29.81,1.45,516.86,99.94,0
DZ-CELL-1461,Tizi Ouzou,n78 (3.5 GHz 5G),919,26.7,0.05,493.79,98.64,0
DZ-CELL-1462,Tiaret,B20 (800 MHz LTE),1105,25.92,0.74,368.16,100.0,0
DZ-CELL-1463,Bejaia,B20 (800 MHz LTE),796,41.11,0.38,414.27,99.92,0
DZ-CELL-1464,Algiers,B3 (1800 MHz LTE),585,37.19,0.05,548.43,99.71,0
DZ-CELL-1465,Annaba,B3 (1800 MHz LTE),1142,40.04,0.44,702.21,99.6,0
DZ-CELL-1466,Ouargla,B20 (800 MHz LTE),1209,45.16,1.45,441.34,99.75,0
DZ-CELL-1467,Bejaia,B3 (1800 MHz LTE),1193,21.84,0.41,419.15,99.47,0
DZ-CELL-1468,Ouargla,B7 (2600 MHz LTE),804,36.2,0.34,548.81,99.82,0
DZ-CELL-1469,Batna,n78 (3.5 GHz 5G),1044,31.5,0.51,408.16,99.77,0
DZ-CELL-1470,Tizi Ouzou,B20 (800 MHz LTE),972,30.8,0.08,695.88,99.76,0
DZ-CELL-1471,Constantine,n78 (3.5 GHz 5G),850,22.16,0.08,575.44,99.8,0
DZ-CELL-1472,Biskra,n78 (3.5 GHz 5G),584,34.8,0.55,698.58,99.64,0
DZ-CELL-1473,Oran,n78 (3.5 GHz 5G),733,35.92,0.54,626.4,99.64,0
DZ-CELL-1474,Blida,n78 (3.5 GHz 5G),634,52.0,0.23,506.55,99.94,0
DZ-CELL-1475,Blida,B20 (800 MHz LTE),596,33.13,0.4,564.18,99.91,0
DZ-CELL-1476,Biskra,B3 (1800 MHz LTE),672,30.88,0.42,355.63,99.6,0
DZ-CELL-1477,Ghardaia,B7 (2600 MHz LTE),986,30.75,0.6,503.31,99.93,0
DZ-CELL-1478,Blida,n78 (3.5 GHz 5G),913,32.56,0.28,423.19,99.26,0
DZ-CELL-1479,Tiaret,n78 (3.5 GHz 5G),806,34.57,1.25,513.93,99.98,0
DZ-CELL-1480,Setif,n78 (3.5 GHz 5G),703,30.67,0.11,460.55,99.94,0
DZ-CELL-1481,Ghardaia,B3 (1800 MHz LTE),509,19.23,0.72,429.09,99.92,0
DZ-CELL-1482,Batna,B3 (1800 MHz LTE),626,26.29,0.06,395.3,99.78,0
DZ-CELL-1483,Blida,B20 (800 MHz LTE),564,29.15,0.19,516.53,99.6,0
DZ-CELL-1484,Blida,B3 (1800 MHz LTE),428,30.87,0.37,440.44,99.83,0
DZ-CELL-1485,Ouargla,n78 (3.5 GHz 5G),916,23.26,0.44,481.98,99.94,0
DZ-CELL-1486,Ghardaia,B3 (1800 MHz LTE),663,31.82,0.28,580.69,99.99,0
DZ-CELL-1487,Biskra,n78 (3.5 GHz 5G),729,23.11,0.58,224.58,99.83,0
DZ-CELL-1488,Tlemcen,B3 (1800 MHz LTE),1098,37.11,0.89,523.32,99.63,0
DZ-CELL-1489,Annaba,B20 (800 MHz LTE),425,23.12,0.3,425.07,99.73,0
DZ-CELL-1490,Bejaia,n78 (3.5 GHz 5G),120,20.98,0.82,584.66,99.9,0
DZ-CELL-1491,Biskra,n78 (3.5 GHz 5G),769,28.05,0.65,263.93,99.97,0
DZ-CELL-1492,Ouargla,B3 (1800 MHz LTE),907,22.59,0.39,724.07,99.95,0
DZ-CELL-1493,Annaba,B20 (800 MHz LTE),815,16.27,0.49,575.02,99.97,0
DZ-CELL-1494,Chlef,B7 (2600 MHz LTE),565,34.18,0.15,413.13,99.65,0
DZ-CELL-1495,Tizi Ouzou,B20 (800 MHz LTE),731,34.85,1.45,459.01,99.83,0
DZ-CELL-1496,Batna,n78 (3.5 GHz 5G),772,24.53,0.72,401.03,99.84,0
DZ-CELL-1497,Oran,B3 (1800 MHz LTE),799,35.01,0.09,531.51,99.78,0
DZ-CELL-1498,Biskra,B7 (2600 MHz LTE),699,26.92,0.93,387.76,100.0,0
DZ-CELL-1499,Tiaret,B7 (2600 MHz LTE),213,92.4,6.18,180.93,95.72,1
DZ-CELL-1500,Chlef,B3 (1800 MHz LTE),818,23.12,0.19,476.58,99.49,0
DZ-CELL-1501,Chlef,n78 (3.5 GHz 5G),649,27.08,1.08,399.38,99.87,0
DZ-CELL-1502,Oran,B7 (2600 MHz LTE),1200,30.46,0.08,177.77,99.82,0
DZ-CELL-1503,Ghardaia,B3 (1800 MHz LTE),740,40.79,0.08,439.81,99.99,0
DZ-CELL-1504,Batna,B3 (1800 MHz LTE),718,23.67,0.32,564.5,99.86,0
DZ-CELL-1505,Biskra,B7 (2600 MHz LTE),897,27.12,0.05,480.2,99.84,0
DZ-CELL-1506,Batna,B20 (800 MHz LTE),1113,30.36,0.08,474.99,99.95,0
DZ-CELL-1507,Chlef,B20 (800 MHz LTE),756,33.87,0.15,381.72,99.96,0
DZ-CELL-1508,Tlemcen,n78 (3.5 GHz 5G),1118,28.35,0.22,421.11,99.7,0
DZ-CELL-1509,Batna,B7 (2600 MHz LTE),928,37.66,0.38,356.99,99.47,0
DZ-CELL-1510,Batna,B7 (2600 MHz LTE),709,30.75,0.05,490.79,99.7,0
DZ-CELL-1511,Tlemcen,B7 (2600 MHz LTE),1135,26.73,0.05,347.48,99.35,0
DZ-CELL-1512,Tizi Ouzou,B7 (2600 MHz LTE),961,33.47,0.14,653.59,99.92,0
DZ-CELL-1513,Ghardaia,B3 (1800 MHz LTE),438,93.28,6.46,76.68,92.04,1
DZ-CELL-1514,Ouargla,n78 (3.5 GHz 5G),1068,39.79,0.44,413.56,99.88,0
DZ-CELL-1515,Blida,B20 (800 MHz LTE),799,25.85,0.81,342.35,99.45,0
DZ-CELL-1516,Ghardaia,B3 (1800 MHz LTE),746,23.34,1.19,515.65,99.97,0
DZ-CELL-1517,Setif,B20 (800 MHz LTE),597,31.59,0.31,533.34,99.94,0
DZ-CELL-1518,Ghardaia,n78 (3.5 GHz 5G),1306,29.21,0.63,531.33,99.53,0
DZ-CELL-1519,Ghardaia,B7 (2600 MHz LTE),1184,36.25,0.05,556.89,100.0,0
DZ-CELL-1520,Batna,n78 (3.5 GHz 5G),989,23.62,0.24,582.54,99.55,0
DZ-CELL-1521,Blida,B20 (800 MHz LTE),1057,64.76,4.33,550.6,98.85,1
DZ-CELL-1522,Batna,B20 (800 MHz LTE),739,28.3,0.19,614.54,99.97,0
DZ-CELL-1523,Ghardaia,B7 (2600 MHz LTE),793,33.72,0.15,668.39,99.86,0
DZ-CELL-1524,Tiaret,B7 (2600 MHz LTE),1021,19.81,0.26,580.25,99.92,0
DZ-CELL-1525,Bejaia,n78 (3.5 GHz 5G),873,38.39,1.21,617.66,99.66,0
DZ-CELL-1526,Annaba,n78 (3.5 GHz 5G),1270,38.07,1.03,297.96,100.0,0
DZ-CELL-1527,Algiers,B20 (800 MHz LTE),927,73.6,4.26,665.95,97.56,1
DZ-CELL-1528,Tiaret,n78 (3.5 GHz 5G),623,31.27,1.45,646.8,99.99,0
DZ-CELL-1529,Tlemcen,B7 (2600 MHz LTE),982,35.18,0.05,708.88,99.96,0
DZ-CELL-1530,Batna,B3 (1800 MHz LTE),466,36.37,1.25,270.14,99.99,0
DZ-CELL-1531,Constantine,B20 (800 MHz LTE),660,32.97,0.28,446.82,99.95,0
DZ-CELL-1532,Ghardaia,B3 (1800 MHz LTE),538,36.9,0.39,599.1,99.66,0
DZ-CELL-1533,Ghardaia,n78 (3.5 GHz 5G),746,15.77,0.2,443.85,99.67,0
DZ-CELL-1534,Oran,n78 (3.5 GHz 5G),612,27.22,0.05,312.87,99.63,0
DZ-CELL-1535,Algiers,B7 (2600 MHz LTE),226,27.83,0.74,336.85,99.65,0
DZ-CELL-1536,Tlemcen,B7 (2600 MHz LTE),675,15.23,0.16,500.95,99.85,0
DZ-CELL-1537,Oran,n78 (3.5 GHz 5G),948,31.8,0.24,423.48,99.96,0
DZ-CELL-1538,Ouargla,B20 (800 MHz LTE),885,32.4,0.37,442.32,99.89,0
DZ-CELL-1539,Blida,n78 (3.5 GHz 5G),887,34.0,1.25,380.23,99.78,0
DZ-CELL-1540,Biskra,B3 (1800 MHz LTE),802,27.27,0.36,607.5,99.66,0
DZ-CELL-1541,Ghardaia,B20 (800 MHz LTE),776,20.29,0.13,631.78,99.98,0
DZ-CELL-1542,Ghardaia,n78 (3.5 GHz 5G),614,18.6,0.51,418.89,99.9,0
DZ-CELL-1543,Blida,n78 (3.5 GHz 5G),894,29.17,0.79,441.54,99.99,0
DZ-CELL-1544,Ghardaia,B3 (1800 MHz LTE),586,29.81,0.95,313.41,99.86,0
DZ-CELL-1545,Bejaia,B3 (1800 MHz LTE),920,34.65,1.23,451.85,99.5,0
DZ-CELL-1546,Annaba,B20 (800 MHz LTE),1151,42.72,0.23,502.26,99.77,0
